name,email
MetalSucks,news@metalsucks.net
Decibel,james@decibelmagazine.com
Loudwire,staff@loudwire.com
Revolver,advertising@revolvermag.com
Screamer,info@screamermagazine.com
Blabbermouth,blabbermouthinbox@gmail.com
Kerrang,feedback@kerrang.com
Metalstorm,editor@metalstorm.net
Metalhammer,jonathan.selzer@futurenet.com
Metalblade,metalblade@metalblade.com
Metal Devastation Radio,zach@metaldevastationradio.com
Brave Words,carlbegaibwbk@yahoo.ca
My Global Mind,Promo@myglobalmind.com
Metal Addicts,reeder@reeder.us
Heavy Blog is Heavy,mail@heavyblogisheavy.com
Invisible Organges,ted@invisibleoranges.com
Razors Edge,info@therazorsedge.rocks
Audio Ink Radio,Cat@audioinkradio.com
Metal4Africa,info@metal4africa.com
Zero Tolerance Magazine,lisa@ztmag.com
